name,type,region,locality,geolocation
Памятный знак летчикам авиаполка &quot;Нормандия-Неман&quot;,военная слава,Калининградская область,,Not found
Памятный знак морякам Балтики,военная слава,Калининградская область,,Not found
Мемориальный знак на месте крушения 9 мая 1993 года.,"Памятники, скульптуры, мемориалы",Свердловская область,Нижний Тагил,Not found
Мемориальный знак на месте переднего края обороны Тулы,военная слава,Тульская область,,"(Decimal('37.575693'), Decimal('53.888064'))"
Памятный знак основателю курорта Владимиру Будзинскому,"Памятники, скульптуры, мемориалы",Краснодарский край,Анапа,"(Decimal('37.31617'), Decimal('44.894965'))"
Памятный знак первому новосибирскому трамваю,"Памятники, скульптуры, мемориалы",Новосибирская область,Новосибирск,Not found
Мемориальный знак участникам конвоев союзников,"Памятники, скульптуры, мемориалы",Мурманская область,Мурманск,Not found
Мемориальный камень,"Памятники, скульптуры, мемориалы",Магаданская область,Магадан,"(Decimal('152.220279'), Decimal('59.261135'))"
Мемориальный камень Сергею Есенину и Зинаиде Райх,"Памятники, скульптуры, мемориалы",Вологодская область,Кирик-Зеленошенк,"(Decimal('39.85656'), Decimal('59.170098'))"
"Мемориальный камень в честь находки женского скелета мамонта ""Матильда""","Памятники, скульптуры, мемориалы",Новосибирская область,Вахрушево,"(Decimal('82.155963'), Decimal('55.247113'))"
Мемориальный камень жертвам депортации,"Памятники, скульптуры, мемориалы",Республика Ингушетия,Таргим,Not found
Мемориальный камень ко дню 70-летия Победы на станции Славгород.,"Памятники, скульптуры, мемориалы",Алтайский край,Славгород,Not found
Мемориальный каменный фундамент города Костромы,"Памятники, скульптуры, мемориалы",Костромская область,Кострома,"(Decimal('41.196838'), Decimal('57.876975'))"
Мемориальный камень силы,"Памятники, скульптуры, мемориалы",Приморский край,Владивосток,"(Decimal('131.872917'), Decimal('43.104814'))"
Мемориальный крест,"Памятники, скульптуры, мемориалы",Псковская область,Псков,"(Decimal('28.332451'), Decimal('57.819274'))"
Мемориальный памятник генералу Маргелову,военная слава,Нижегородская область,Нижний Новгород,Not found
"Панно «Процветай, моя Калмыкия!»","Памятники, скульптуры, мемориалы",Республика Калмыкия,Элиста,Not found
Парадные ворота Волгограда,"Памятники, скульптуры, мемориалы",Волгоградская область,Волгоград,"(Decimal('44.588822'), Decimal('48.455318'))"
Парк Победы,"Сады, скверы, парки",Ямало-Ненецкий автономный округ,Салехард,"(Decimal('66.606368'), Decimal('66.545298'))"
Парк скульптур,"Памятники, скульптуры, мемориалы",Иркутская область,Иркутск,"(Decimal('104.281047'), Decimal('52.287054'))"
"Парковая скульптура ""Динамическое равновесие""","Памятники, скульптуры, мемориалы",Омская область,Омск,"(Decimal('73.362184'), Decimal('54.919606'))"
Паровоз &quot;Феликс Дзержинский&quot;,"Памятники, скульптуры, мемориалы",Курганская область,Курган,Not found
Локомотив Е-269,"Памятники, скульптуры, мемориалы",Приморский край,Уссурийск,"(Decimal('131.95178'), Decimal('43.797273'))"
Паровоз ЭР-743-64,памятники железные дороги,Волгоградская область,Волгоград,"(Decimal('44.516948'), Decimal('48.707067'))"
Паровоз героя социалистического труда П.Д. Шолкина.,"Памятники, скульптуры, мемориалы",Новосибирская область,Новосибирск,"(Decimal('83.120817'), Decimal('54.95766'))"
Памятник паровозу Л-3620 в городе Славгороде,"Памятники, скульптуры, мемориалы",Алтайский край,Славгород,"(Decimal('78.64594'), Decimal('52.999375'))"
Памятник паровозу Эр 798-62 на станции Кулунда,"Памятники, скульптуры, мемориалы",Алтайский край,твой слуга,"(Decimal('78.928343'), Decimal('52.569297'))"
камень для переговоров,"Памятники, скульптуры, мемориалы",Архангельская область,,"(Decimal('36.693709'), Decimal('63.959213'))"
Петербургский ангел,"Памятники, скульптуры, мемориалы",Санкт-Петербург,Санкт-Петербург,"(Decimal('29.61679'), Decimal('60.509562'))"
Петровские ворота,"Памятники, скульптуры, мемориалы",Санкт-Петербург,Санкт-Петербург,"(Decimal('30.319398'), Decimal('59.891661'))"
Подкова счастья,"Памятники, скульптуры, мемориалы",Волгоградская область,Волгоград,"(Decimal('44.516948'), Decimal('48.707067'))"
Пожарный катер «демпфер»,"Памятники, скульптуры, мемориалы",Волгоградская область,Волгоград,"(Decimal('44.511244'), Decimal('48.697238'))"
Поклонная гора,"Памятники, скульптуры, мемориалы",Волгоградская область,Суровикино,"(Decimal('42.844195'), Decimal('48.605493'))"
Культовый камень Городец,"Памятники, скульптуры, мемориалы",Нижегородская область,Городец,Not found
Поклонный крест Кирилла и Мефодия,Культура,Нижегородская область,Нижний Новгород,Not found
Поклонный крест на Бессоновой горе.,"Памятники, скульптуры, мемориалы",Свердловская область,Сысерть,Not found
Покровская гора,"Памятники, скульптуры, мемориалы",Брянская область,,"(Decimal('34.373864'), Decimal('53.246477'))"
Поляна звезд Города-Герои,военная слава,Ростовская область,Волгодонск,"(Decimal('42.20632'), Decimal('47.519618'))"
Поющий памятник Владимиру Высоцкому,"Памятники, скульптуры, мемориалы",Приморский край,Владивосток,Not found
Пристань со сфинксами на набережной Свердловска.,"Памятники, скульптуры, мемориалы",Санкт-Петербург,Санкт-Петербург,"(Decimal('30.426442'), Decimal('59.902984'))"
Земля для щенков,"Памятники, скульптуры, мемориалы",Пермь,Кунгур,"(Decimal('56.944206'), Decimal('57.42881'))"
Гун-Бийская крепость,военная слава,Алтайский край,Бийск,"(Decimal('85.21382'), Decimal('52.539297'))"
Ракета-носитель «Восток» в Калуге.,"Памятники, скульптуры, мемориалы",Калужская область,Калуга,"(Decimal('36.167539'), Decimal('54.53284'))"
Ракетная установка «Катюша».,военная слава,Тульская область,Тула,"(Decimal('37.603388'), Decimal('54.256108'))"
ритуальный менгир,"Памятники, скульптуры, мемориалы",Республика Хакасия,Абакан,"(Decimal('91.442387'), Decimal('53.721152'))"
Родник «Девичья коса» и памятник легендарному абрекову Зелимхану Харачоевскому,Природа,Чеченская Республика,Харакой,"(Decimal('46.137716'), Decimal('42.905918'))"
Ростральные колонны,"Памятники, скульптуры, мемориалы",Санкт-Петербург,Санкт-Петербург,"(Decimal('30.315868'), Decimal('59.939095'))"
ротонда,"Памятники, скульптуры, мемориалы",Воронежская область,Воронеж,"(Decimal('39.200269'), Decimal('51.660781'))"
"Ручная усадьба-парк калмыцких князей Тундутовых, исторический памятник «Тундутовская дача»","Памятники, скульптуры, мемориалы",Волгоградская область,солянка,Not found
"Садовая скульптура ""Муза""","Памятники, скульптуры, мемориалы",Свердловская область,Нижний Тагил,"(Decimal('59.972211'), Decimal('57.907605'))"
Самолет «МиГ-15»,"Памятники, скульптуры, мемориалы",Нижегородская область,Нижний Новгород,"(Decimal('44.006516'), Decimal('56.326797'))"
Самолет АН-8,"Памятники, скульптуры, мемориалы",Кировская область,Киров,"(Decimal('49.668014'), Decimal('58.603591'))"
Дерево светофора,"Памятники, скульптуры, мемориалы",Пензенская область,Пенза,"(Decimal('45.018316'), Decimal('53.195042'))"
символ путешествия,"Памятники, скульптуры, мемориалы",Псковская область,Псков,"(Decimal('28.332451'), Decimal('57.819274'))"
Скала Бижиктиг Хая и каменная статуя воина,Природа,Республика Тыва,Биджиктиг Каст,"(Decimal('90.63659'), Decimal('51.10269'))"
любители скамейки,"Памятники, скульптуры, мемориалы",Вологодская область,Вологда,"(Decimal('39.891523'), Decimal('59.220496'))"
скамейка Герцена,"Памятники, скульптуры, мемориалы",Кировская область,Киров,"(Decimal('49.66398'), Decimal('58.60006'))"
скамейка примирения,"Памятники, скульптуры, мемориалы",Удмуртская республика,Ижевск,"(Decimal('53.206891'), Decimal('56.852676'))"
Скамейка любви и верности,"Памятники, скульптуры, мемориалы",Республика Марий Эл,Йошкар-Ола,Not found
Скамейка примирения,"Памятники, скульптуры, мемориалы",Вологодская область,Вологда,"(Decimal('39.891523'), Decimal('59.220496'))"
Площадь «Шахтерской славы»,военная слава,Белгородская область,Губкин,"(Decimal('37.533239'), Decimal('51.284906'))"
Квадратные завоеватели Атом,"Сады, скверы, парки",Новосибирская область,Новосибирск,"(Decimal('82.955167'), Decimal('55.073242'))"
Площадь локомотивного депо вокзала Горький,"Памятники, скульптуры, мемориалы",Волгоградская область,Волгоград,"(Decimal('44.328598'), Decimal('48.686599'))"
Квадратная советская скульптура филармонии,"Памятники, скульптуры, мемориалы",Смоленская область,Смоленск,"(Decimal('32.045251'), Decimal('54.782635'))"
Усыпальницы Нарта Сослана,"Памятники, скульптуры, мемориалы",Республика Северная Осетия - Алания,Мацута,Not found
Скульптура &quot;Дачница&quot;,"Памятники, скульптуры, мемориалы",Ивановская область,Танец,Not found
Скульптура &quot;Коза&quot; в парке &quot;Берёзовая роща&quot;,"Памятники, скульптуры, мемориалы",Удмуртская республика,Ижевск,Not found
Скульптура &quot;Модель автомобиля Itala&quot;,"Памятники, скульптуры, мемориалы",Кировская область,Киров,Not found
Скульптура &quot;Олень&quot;,"Памятники, скульптуры, мемориалы",Смоленская область,Смоленск,Not found
Скульптура &quot;Памятник оружейникам Удмуртии&quot;,"Памятники, скульптуры, мемориалы",Удмуртская республика,Ижевск,Not found
Скульптура &quot;Проложившим дорогу в космос&quot; (собаке-космонавту Звёздочке),"Памятники, скульптуры, мемориалы",Удмуртская республика,Ижевск,Not found
Скульптура &quot;Родители&quot;,"Памятники, скульптуры, мемориалы",Курганская область,Курган,Not found
Скульптура &quot;Самая северная точка озера Байкал&quot;,"Памятники, скульптуры, мемориалы",Республика Бурятия,,Not found
Скульптура &quot;Тарбаганнар&quot;,"Памятники, скульптуры, мемориалы",Республика Тыва,Мугур-Аксы,Not found
Скульптура «Адам и Ева».,"Памятники, скульптуры, мемориалы",Кемеровская область,Прокопьевск,Not found
"Скульптура ""Аист""","Памятники, скульптуры, мемориалы",Забайкальский край,Чита,"(Decimal('113.501049'), Decimal('52.033635'))"
Скульптура «Ангел в мундире надежды».,"Памятники, скульптуры, мемориалы",Свердловская область,Бажуково,Not found
Скульптура «Ангел-хранитель».,"Памятники, скульптуры, мемориалы",Ставропольский край,Ставрополь,"(Decimal('41.969101'), Decimal('45.04333'))"
"Скульптура ""Буду корабельной""","Памятники, скульптуры, мемориалы",Ханты-Мансийский автономный округ,Ханты-Мансийск,"(Decimal('69.018902'), Decimal('61.00318'))"
Скульптура «Ассоль».,"Памятники, скульптуры, мемориалы",Кировская область,Киров,"(Decimal('49.668014'), Decimal('58.603591'))"
Скульптура «Бегущий по волнам».,"Памятники, скульптуры, мемориалы",Кировская область,Киров,Not found
Скульптура «Белая невеста».,"Памятники, скульптуры, мемориалы",Краснодарский край,Геленджик,"(Decimal('38.076809'), Decimal('44.561141'))"
Скульптура «Белый старец».,"Памятники, скульптуры, мемориалы",Республика Калмыкия,Элиста,"(Decimal('44.269759'), Decimal('46.307743'))"
"Скульптура ""Беркутчи""","Памятники, скульптуры, мемориалы",Республика Калмыкия,Элиста,"(Decimal('44.269759'), Decimal('46.307743'))"
"Скульптура ""Борта""","Памятники, скульптуры, мемориалы",Республика Калмыкия,Элиста,"(Decimal('44.269759'), Decimal('46.307743'))"
"Скульптура ""Борцы""","Памятники, скульптуры, мемориалы",Республика Калмыкия,Элиста,"(Decimal('44.269759'), Decimal('46.307743'))"
Скульптура «Верблюжий тюльпан».,"Памятники, скульптуры, мемориалы",Республика Калмыкия,Элиста,"(Decimal('44.269759'), Decimal('46.307743'))"
Скульптура «Вечный дозор».,"Памятники, скульптуры, мемориалы",Республика Тыва,красный,"(Decimal('94.437757'), Decimal('51.719086'))"
"Скульптура ""Вова в тридевятом царстве""","Памятники, скульптуры, мемориалы",Новосибирская область,Новосибирск,Not found
"Скульптура ""Воспоминания""","Памятники, скульптуры, мемориалы",Белгородская область,Белгород,"(Decimal('36.587223'), Decimal('50.59566'))"
"Скульптура ""Воспоминания""","Памятники, скульптуры, мемориалы",Белгородская область,Белгород,"(Decimal('36.587223'), Decimal('50.59566'))"
Скульптура «Гаруда-хранитель».,"Памятники, скульптуры, мемориалы",Республика Калмыкия,Элиста,"(Decimal('44.269759'), Decimal('46.307743'))"
Скульптура «Краснодарский гость».,"Памятники, скульптуры, мемориалы",Краснодарский край,Краснодар,"(Decimal('38.942084'), Decimal('45.269194'))"
Скульптура «Дама с собачкой».,"Памятники, скульптуры, мемориалы",Астраханская область,Астрахань,Not found
Скульптура «Два мира».,"Памятники, скульптуры, мемориалы",Республика Калмыкия,Элиста,"(Decimal('44.293843'), Decimal('46.308882'))"
Скульптура «Девочка на шаре».,"Памятники, скульптуры, мемориалы",Краснодарский край,Новороссийск,Not found
Скульптура «Девочка в карете».,"Памятники, скульптуры, мемориалы",Краснодарский край,Новороссийск,Not found
Скульптура «Девушка на дельфине».,"Памятники, скульптуры, мемориалы",Краснодарский край,Новороссийск,Not found
"Скульптура ""Дельфины""","Памятники, скульптуры, мемориалы",Краснодарский край,Новороссийск,"(Decimal('37.768974'), Decimal('44.723912'))"
"Скульптура ""Динозавр""","Памятники, скульптуры, мемориалы",Ростовская область,Белая Калитва,"(Decimal('40.802388'), Decimal('48.177644'))"
Скульптура «Добрый ангел мира».,"Памятники, скульптуры, мемориалы",Краснодарский край,Краснодар,"(Decimal('38.973256'), Decimal('45.020156'))"
"Скульптура ""Доктор Айболит""","Памятники, скульптуры, мемориалы",Новосибирская область,Новосибирск,"(Decimal('82.92043'), Decimal('55.030199'))"
"Скульптура ""Дракон Лу""","Памятники, скульптуры, мемориалы",Республика Калмыкия,Элиста,"(Decimal('44.269759'), Decimal('46.307743'))"
"Скульптура ""Евразия""","Памятники, скульптуры, мемориалы",Республика Калмыкия,Элиста,"(Decimal('44.269759'), Decimal('46.307743'))"
"Скульптура ""Кот Ешкин""","Памятники, скульптуры, мемориалы",Забайкальский край,Чита,"(Decimal('113.501049'), Decimal('52.033635'))"
"Скульптура ""Меркурий Жезл бога торговли и рога изобилия""","Памятники, скульптуры, мемориалы",Республика Бурятия,,"(Decimal('112.348699'), Decimal('54.544222'))"
Скульптура «Знание – сила».,"Памятники, скульптуры, мемориалы",Волгоградская область,Волгоград,"(Decimal('44.516948'), Decimal('48.707067'))"
"Скульптура ""Золотая Корона ""Ёрял""""","Памятники, скульптуры, мемориалы",Республика Калмыкия,Элиста,"(Decimal('44.228598'), Decimal('46.334088'))"
"Скульптура ""Кида""","Памятники, скульптуры, мемориалы",Республика Калмыкия,Элиста,"(Decimal('44.269759'), Decimal('46.307743'))"
Скульптура «Комар Петролеум».,"Памятники, скульптуры, мемориалы",Республика Коми,Усинск,"(Decimal('57.55701'), Decimal('65.994144'))"
"Скульптура ""Ученый кот""","Памятники, скульптуры, мемориалы",Удмуртская республика,Ижевск,"(Decimal('53.206891'), Decimal('56.852676'))"
"Скульптура ""Кошелек""","Памятники, скульптуры, мемориалы",Краснодарский край,Краснодар,"(Decimal('38.975313'), Decimal('45.03547'))"
"Скульптура ""Купец""","Памятники, скульптуры, мемориалы",Кемеровская область,Мариинский,"(Decimal('87.742263'), Decimal('56.206952'))"
Скульптура «Легенда о пермском медведе».,"Памятники, скульптуры, мемориалы",Пермь,Пермский,"(Decimal('56.216256'), Decimal('57.989174'))"
"Скульптура ""Лось""","Памятники, скульптуры, мемориалы",Ленинградская область,Выборг,"(Decimal('28.749404'), Decimal('60.710232'))"
"Скульптура ""Лось""","Памятники, скульптуры, мемориалы",Мурманская область,Мончегорск,"(Decimal('32.937062'), Decimal('67.938917'))"
Скульптура «Коварный горнячок».,"Памятники, скульптуры, мемориалы",Мурманская область,Кировск,"(Decimal('33.668228'), Decimal('67.612056'))"
Скульптура «Лунный календарь».,"Памятники, скульптуры, мемориалы",Республика Калмыкия,Элиста,"(Decimal('44.269759'), Decimal('46.307743'))"
Скульптура «Маленький принц».,"Памятники, скульптуры, мемориалы",Республика Хакасия,Абакан,"(Decimal('91.442387'), Decimal('53.721152'))"
"Скульптура ""Пастух""","Памятники, скульптуры, мемориалы",Республика Тыва,красный,"(Decimal('94.459343'), Decimal('51.706681'))"
Скульптура «Мальчик и дракон».,"Памятники, скульптуры, мемориалы",Республика Калмыкия,,Not found
"Скульптура ""Мальчик, читающий книгу""","Памятники, скульптуры, мемориалы",Новосибирская область,Новосибирск,Not found
"Скульптура ""Марафон""","Памятники, скульптуры, мемориалы",Омская область,Омск,"(Decimal('73.368212'), Decimal('54.989342'))"
Скульптура «Мать и дитя».,"Памятники, скульптуры, мемориалы",Псковская область,Псков,Not found
Скульптура «Мацеста».,"Памятники, скульптуры, мемориалы",Краснодарский край,Сочи,"(Decimal('39.814268'), Decimal('43.612037'))"
Скульптура «Медведь на скамейке».,"Памятники, скульптуры, мемориалы",Новгородская область,Новгород,"(Decimal('30.512833'), Decimal('58.301809'))"
"Скульптура ""Мир и изобилие""","Памятники, скульптуры, мемориалы",Санкт-Петербург,Санкт-Петербург,"(Decimal('30.452304'), Decimal('59.892116'))"
Скульптура «Морские коньки».,"Памятники, скульптуры, мемориалы",Краснодарский край,Новороссийск,"(Decimal('37.768974'), Decimal('44.723912'))"
Скульптура «Навстречу ветру».,"Памятники, скульптуры, мемориалы",Республика Тыва,красный,"(Decimal('94.437757'), Decimal('51.719086'))"
Скульптура «Рожденный готовый»,"Памятники, скульптуры, мемориалы",Воронежская область,Воронеж,"(Decimal('39.200269'), Decimal('51.660781'))"
"Скульптура ""олень""","Памятники, скульптуры, мемориалы",Алтайский край,Белокуриха,"(Decimal('84.984004'), Decimal('51.99606'))"
Скульптура «Пес Соломон».,"Памятники, скульптуры, мемориалы",Мурманская область,Полярные рассветы,"(Decimal('32.500966'), Decimal('67.365788'))"
Скульптура «Пипа и Балалайка».,"Памятники, скульптуры, мемориалы",Хабаровский край,Хабаровск,Not found
Скульптура «Подкова счастья».,"Памятники, скульптуры, мемориалы",Кировская область,Киров,"(Decimal('49.668014'), Decimal('58.603591'))"
Скульптура «Покорение Сибири».,"Памятники, скульптуры, мемориалы",Новосибирская область,Новосибирск,"(Decimal('82.899292'), Decimal('55.11962'))"
Скульптура «Рабочий и колхозница».,"Памятники, скульптуры, мемориалы",Москва,,"(Decimal('37.684138'), Decimal('55.744419'))"
Скульптура «Регулировщик дорожного движения».,"Памятники, скульптуры, мемориалы",Белгородская область,Белгород,"(Decimal('36.587223'), Decimal('50.59566'))"
Скульптура «Рождённый в год Быка»,"Памятники, скульптуры, мемориалы",Республика Калмыкия,Элиста,Not found
Скульптура «Свидание».,"Памятники, скульптуры, мемориалы",Иркутская область,Иркутск,"(Decimal('104.281047'), Decimal('52.287054'))"
"Скульптура ""Слава Науки""","Памятники, скульптуры, мемориалы",Удмуртская республика,Ижевск,"(Decimal('53.206891'), Decimal('56.852676'))"
"Скульптура ""Слон""","Памятники, скульптуры, мемориалы",Ростовская область,Белая Калитва,"(Decimal('40.802388'), Decimal('48.177644'))"
Скульптура «Снегурочка».,"Памятники, скульптуры, мемориалы",Амурская область,Благовещенск,"(Decimal('127.527173'), Decimal('50.29064'))"
Скульптура «Солнечные часы».,"Памятники, скульптуры, мемориалы",Республика Калмыкия,Элиста,"(Decimal('44.269759'), Decimal('46.307743'))"
"Скульптура ""Ника Степпе""","Памятники, скульптуры, мемориалы",Республика Калмыкия,Элиста,"(Decimal('44.245962'), Decimal('46.318655'))"
Скульптура «Странник».,"Памятники, скульптуры, мемориалы",Республика Калмыкия,Элиста,"(Decimal('44.269759'), Decimal('46.307743'))"
"Скульптура ""Танец""","Памятники, скульптуры, мемориалы",Республика Калмыкия,Элиста,"(Decimal('44.269759'), Decimal('46.307743'))"
"Скульптура ""Источник""","Памятники, скульптуры, мемориалы",Республика Калмыкия,Элиста,"(Decimal('44.269759'), Decimal('46.307743'))"
"Скульптура ""Укротительница""","Памятники, скульптуры, мемориалы",Республика Тыва,красный,"(Decimal('94.437757'), Decimal('51.719086'))"
"Скульптура ""Фотограф""","Памятники, скульптуры, мемориалы",Республика Хакасия,Абакан,"(Decimal('91.442387'), Decimal('53.721152'))"
"Скульптура ""Хаджи""","Памятники, скульптуры, мемориалы",Республика Хакасия,Абакан,"(Decimal('91.442387'), Decimal('53.721152'))"
Скульптура «Хозяин горы».,"Памятники, скульптуры, мемориалы",Алтайский край,Белокуриха,"(Decimal('84.984004'), Decimal('51.99606'))"
Скульптура «Хозяйка Медной горы».,"Памятники, скульптуры, мемориалы",Свердловская область,Екатеринбург,"(Decimal('60.125769'), Decimal('57.036245'))"
"Скульптура ""Кэм""","Памятники, скульптуры, мемориалы",Республика Калмыкия,Элиста,"(Decimal('44.269759'), Decimal('46.307743'))"
Скульптура «Черная лисица».,"Памятники, скульптуры, мемориалы",Ханты-Мансийский автономный округ,Сургут,"(Decimal('73.426791'), Decimal('61.284862'))"
"Скульптура ""Четыре дружных""","Памятники, скульптуры, мемориалы",Забайкальский край,Агинское,"(Decimal('114.537849'), Decimal('51.103662'))"
"Скульптура ""Щукарев""","Памятники, скульптуры, мемориалы",Ростовская область,Белая Калитва,"(Decimal('40.802388'), Decimal('48.177644'))"
Скульптура «Я расскажу вам о Магадане» - памятник Владимиру Высоцкому.,"Памятники, скульптуры, мемориалы",Магаданская область,,"(Decimal('154.036835'), Decimal('62.575815'))"
скульптура Бурлак,"Памятники, скульптуры, мемориалы",Ярославская область,Рыбинск,"(Decimal('38.858406'), Decimal('58.048454'))"
Скульптура В.М. Шукшиной,"Памятники, скульптуры, мемориалы",Алтайский край,сращивания,"(Decimal('85.701811'), Decimal('52.419355'))"
Скульптура Девы Марии с Младенцем.,"Памятники, скульптуры, мемориалы",Республика Марий Эл,Йошкар-Ола,"(Decimal('47.903597'), Decimal('56.633442'))"
Скульптура Ивана Семенова,"Памятники, скульптуры, мемориалы",Пермь,Пермский,"(Decimal('56.229434'), Decimal('58.01045'))"
Скульптура Лоренцо Медичи.,"Памятники, скульптуры, мемориалы",Республика Марий Эл,Йошкар-Ола,"(Decimal('47.905016'), Decimal('56.633912'))"
Скульптура Массимо Джиотти,"Памятники, скульптуры, мемориалы",Псковская область,Псков,"(Decimal('28.332451'), Decimal('57.819274'))"
Скульптура Мать Бурятия,"Памятники, скульптуры, мемориалы",Республика Бурятия,Улан-Удэ,"(Decimal('107.584574'), Decimal('51.834464'))"
Скульптура оленя с оленьим,"Памятники, скульптуры, мемориалы",Республика Тыва,красный,Not found
Скульптура Пресвятой Богородицы,"Памятники, скульптуры, мемориалы",Республика Саха (Якутия),Мирный,"(Decimal('113.978692'), Decimal('62.541028'))"
Семейная Скульптура,"Памятники, скульптуры, мемориалы",Республика Тыва,красный,"(Decimal('94.437757'), Decimal('51.719086'))"
Скульптура Мать Саи,"Памятники, скульптуры, мемориалы",Республика Тыва,красный,"(Decimal('94.379339'), Decimal('51.715085'))"
Скульптура великой хоринской княжны Бальжин-Хатун.,"Памятники, скульптуры, мемориалы",Забайкальский край,Агинское,Not found
Скульптура кошки,"Памятники, скульптуры, мемориалы",Волгоградская область,Волгоград,"(Decimal('44.516948'), Decimal('48.707067'))"
скульптура оленя,"Памятники, скульптуры, мемориалы",Нижегородская область,Нижний Новгород,"(Decimal('44.006516'), Decimal('56.326797'))"
Скульптура трех драматургов,"Памятники, скульптуры, мемориалы",Иркутская область,Черемхово,"(Decimal('103.090096'), Decimal('53.136911'))"
"Скульптура, посвященная М.П. Смирновой.","Памятники, скульптуры, мемориалы",Пензенская область,городище,Not found
Скульптура-фонтан «дающий воду»,"Памятники, скульптуры, мемориалы",Краснодарский край,Новороссийск,"(Decimal('37.768974'), Decimal('44.723912'))"
Скульптурная группа &quot;Октябрь&quot;,"Памятники, скульптуры, мемориалы",Санкт-Петербург,Санкт-Петербург,Not found
Скульптурная группа «Невозмутимый кот».,"Памятники, скульптуры, мемориалы",Амурская область,Благовещенск,Not found
Скульптурная группа «Основатели города Ханты-Мансийска».,"Памятники, скульптуры, мемориалы",Ханты-Мансийский автономный округ,Ханты-Мансийск,Not found
"Скульптурная группа ""Семья"".","Памятники, скульптуры, мемориалы",Республика Мордовия,Саранск,"(Decimal('45.183938'), Decimal('54.187433'))"
Скульптурная группа «Снимаем кино».,"Памятники, скульптуры, мемориалы",Алтайский край,Барнаул,Not found
"Скульптурная группа Митрополита Тобольского и Сибирского святителя Иоанна Чудотворца, Митрополита Тобольского и Сибирского святителя Филофея Лещинского.","Памятники, скульптуры, мемориалы",Ханты-Мансийский автономный округ,Ханты-Мансийск,"(Decimal('69.018902'), Decimal('61.00318'))"
Скульптурная группа святых братьев Кирилла и Мефодия.,"Памятники, скульптуры, мемориалы",Ханты-Мансийский автономный округ,Ханты-Мансийск,"(Decimal('69.018902'), Decimal('61.00318'))"
скульптура,"Памятники, скульптуры, мемориалы",Курганская область,,"(Decimal('64.809405'), Decimal('55.448347'))"
Скульптура «Григорий и Аксинья».,"Памятники, скульптуры, мемориалы",Ростовская область,Вешенская,Not found
Скульптура «Поход Корчагина продолжается».,военная слава,Ростовская область,Волгодонск,Not found
Скульптурная композиция &quot;Святые благоверные Петр и Феврония Муромские&quot;,"Памятники, скульптуры, мемориалы",Тульская область,Тула,Not found
Скульптурная композиция &quot;Святые благоверные Петр и Феврония Муромские&quot;,"Памятники, скульптуры, мемориалы",Удмуртская республика,Ижевск,Not found
Скульптура «А.П. Чехов»,"Памятники, скульптуры, мемориалы",Томская область,Томск,Not found
Скульптура «Аист. Рождение счастья»,"Памятники, скульптуры, мемориалы",Омская область,Омск,Not found
"Скульптура ""Ангел-хранитель""","Памятники, скульптуры, мемориалы",Новосибирская область,Новосибирск,"(Decimal('82.92043'), Decimal('55.030199'))"
Скульптура «Ваня и Андрей Соколовы».,"Памятники, скульптуры, мемориалы",Волгоградская область,Урюпинск,"(Decimal('42.015194'), Decimal('50.799754'))"
Скульптура «Бамовцы».,"Памятники, скульптуры, мемориалы",Республика Бурятия,Северобайкальск,"(Decimal('109.335597'), Decimal('55.635996'))"
"Скульптура ""Бык-солевоз""","Памятники, скульптуры, мемориалы",Саратовская область,Энгельс,"(Decimal('46.126783'), Decimal('51.485489'))"
Скульптура «Великие сибирские экспедиции».,"Памятники, скульптуры, мемориалы",Ханты-Мансийский автономный округ,Ханты-Мансийск,Not found
"Скульптура ""Вишневое детство""","Памятники, скульптуры, мемориалы",Кемеровская область,Осинники,Not found
"Скульптура ""Влюбленные собачки""","Памятники, скульптуры, мемориалы",Краснодарский край,Краснодар,Not found
Скульптура «Вместе ради будущего»,"Памятники, скульптуры, мемориалы",Ямало-Ненецкий автономный округ,Ноябрьск,Not found
Скульптурная композиция «Во славу медицинских работников»,"Памятники, скульптуры, мемориалы",Алтайский край,Белокуриха,Not found
"Скульптура ""Время"" (Мамонт)","Памятники, скульптуры, мемориалы",Магаданская область,Магадан,"(Decimal('150.808586'), Decimal('59.565151'))"
"Скульптура ""Встреча""","Памятники, скульптуры, мемориалы",Омская область,Омск,"(Decimal('73.368212'), Decimal('54.989342'))"
Скульптура «Грибная поляна».,"Памятники, скульптуры, мемориалы",Тульская область,Тула,"(Decimal('37.569099'), Decimal('54.096345'))"
Скульптура «Григорий и Аксинья в лодке».,"Памятники, скульптуры, мемориалы",Ростовская область,Ростов-на-Дону,"(Decimal('39.720349'), Decimal('47.222078'))"
Скульптура «Григорий и Аксинья».,"Памятники, скульптуры, мемориалы",Ростовская область,Белая Калитва,Not found
"Скульптура ""Двенадцать""","Памятники, скульптуры, мемориалы",Республика Марий Эл,Йошкар-Ола,Not found
Скульптура «Девочка с голубем».,"Памятники, скульптуры, мемориалы",Ханты-Мансийский автономный округ,Нягань,Not found
Скульптура «Девочка с котенком».,"Памятники, скульптуры, мемориалы",Новосибирская область,Новосибирск,Not found
Скульптура «Щукарь».,"Памятники, скульптуры, мемориалы",Ростовская область,Ростов-на-Дону,Not found
Скульптура «дедушка и внук».,"Памятники, скульптуры, мемориалы",Республика Северная Осетия - Алания,Владикавказ,Not found
